Title,Legislature,Sponsor,Type,Amendments,Document,Reading,Date,Status,Transcript
"Alberta Taxpayer Protection Amendment Act, 2023","Legislature 31, Session 1",Smith,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-001.pdf,1R,"Oct 30, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231030_1500_01_han.pdf#page=10
"Alberta Taxpayer Protection Amendment Act, 2023","Legislature 31, Session 1",Smith,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-001.pdf,2R,"Nov 1, 2023 pm",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231101_1330_01_han.pdf#page=17
"Alberta Taxpayer Protection Amendment Act, 2023","Legislature 31, Session 1",Smith,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-001.pdf,2R,"Nov 2, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231102_1330_01_han.pdf#page=22
"Alberta Taxpayer Protection Amendment Act, 2023","Legislature 31, Session 1",Smith,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-001.pdf,CW,"Nov 7, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231107_1330_01_han.pdf#page=17
"Alberta Taxpayer Protection Amendment Act, 2023","Legislature 31, Session 1",Smith,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-001.pdf,3R,"Nov 7, 2023 pm",passed on division,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231107_1330_01_han.pdf#page=19
"Alberta Taxpayer Protection Amendment Act, 2023","Legislature 31, Session 1",Smith,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-001.pdf,RA,"Dec 7, 2023",outside of House sitting,
"Alberta Taxpayer Protection Amendment Act, 2023","Legislature 31, Session 1",Smith,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-001.pdf,CF,"on December 7, 2023", SA 2023 c6,
Alberta Pension Protection Act,"Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-002.pdf,1R,"Nov 2, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231102_1330_01_han.pdf#page=15
Alberta Pension Protection Act,"Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-002.pdf,2R,"Nov 7, 2023 pm",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231107_1330_01_han.pdf#page=26
Alberta Pension Protection Act,"Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-002.pdf,2R,"Nov 21, 2023 pm",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231121_1330_01_han.pdf#page=26
Alberta Pension Protection Act,"Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-002.pdf,2R,"Nov 23, 2023 pm",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231123_1330_01_han.pdf#page=20
Alberta Pension Protection Act,"Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-002.pdf,2R,"Nov 28, 2023 pm",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231128_1330_01_han.pdf#page=22
Alberta Pension Protection Act,"Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-002.pdf,2R,"Nov 29, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231129_1330_01_han.pdf#page=18
Alberta Pension Protection Act,"Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-002.pdf,CW,"Dec 5, 2023 pm",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231205_1330_01_han.pdf#page=28
Alberta Pension Protection Act,"Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-002.pdf,CW,"Dec 6, 2023 eve",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231206_1330_01_han.pdf#page=26
Alberta Pension Protection Act,"Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-002.pdf,3R,"Dec 6, 2023 eve",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231206_1930_01_han.pdf#page=7
Alberta Pension Protection Act,"Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-002.pdf,3R,"Dec 6, 2023 eve",passed on division,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231206_1930_01_han.pdf#page=25
Alberta Pension Protection Act,"Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-002.pdf,RA,"Dec 7, 2023",outside of House sitting,
Alberta Pension Protection Act,"Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-002.pdf,CF,"on December 7, 2023", SA 2023 cA-29.5,
"Opioid Damages and Health Care Costs Recovery Amendment Act, 2023","Legislature 31, Session 1",Williams,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-003.pdf,1R,"Oct 31, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231031_1330_01_han.pdf#page=16
"Opioid Damages and Health Care Costs Recovery Amendment Act, 2023","Legislature 31, Session 1",Williams,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-003.pdf,2R,"Nov 2, 2023 pm",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231102_1330_01_han.pdf#page=16
"Opioid Damages and Health Care Costs Recovery Amendment Act, 2023","Legislature 31, Session 1",Williams,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-003.pdf,2R,"Nov 8, 2023 pm",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231108_1330_01_han.pdf#page=20
"Opioid Damages and Health Care Costs Recovery Amendment Act, 2023","Legislature 31, Session 1",Williams,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-003.pdf,2R,"Nov 21, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231121_1330_01_han.pdf#page=24
"Opioid Damages and Health Care Costs Recovery Amendment Act, 2023","Legislature 31, Session 1",Williams,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-003.pdf,CW,"Nov 22, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231122_1330_01_han.pdf#page=25
"Opioid Damages and Health Care Costs Recovery Amendment Act, 2023","Legislature 31, Session 1",Williams,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-003.pdf,3R,"Nov 23, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231123_1330_01_han.pdf#page=18
"Opioid Damages and Health Care Costs Recovery Amendment Act, 2023","Legislature 31, Session 1",Williams,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-003.pdf,RA,"Dec 7, 2023",outside of House sitting,
"Opioid Damages and Health Care Costs Recovery Amendment Act, 2023","Legislature 31, Session 1",Williams,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-003.pdf,CF,"on December 7, 2023", SA 2023 c10,
"Tax Statutes Amendment Act, 2023 ($)","Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-004.pdf,1R,"Nov 1, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231101_1330_01_han.pdf#page=15
"Tax Statutes Amendment Act, 2023 ($)","Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-004.pdf,2R,"Nov 7, 2023 pm",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231107_1330_01_han.pdf#page=31
"Tax Statutes Amendment Act, 2023 ($)","Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-004.pdf,2R,"Nov 7, 2023 pm",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231107_1330_01_han.pdf#page=27
"Tax Statutes Amendment Act, 2023 ($)","Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-004.pdf,2R,"Nov 8, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231108_1330_01_han.pdf#page=27
"Tax Statutes Amendment Act, 2023 ($)","Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-004.pdf,CW,"Nov 22, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231122_1330_01_han.pdf#page=27
"Tax Statutes Amendment Act, 2023 ($)","Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-004.pdf,3R,"Nov 23, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231123_1330_01_han.pdf#page=20
"Tax Statutes Amendment Act, 2023 ($)","Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-004.pdf,RA,"Dec 7, 2023",outside of House sitting,
"Tax Statutes Amendment Act, 2023 ($)","Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-004.pdf,CF,on various dates, SA 2023 c13,
"Public Sector Employers Amendment Act, 2023*","Legislature 31, Session 1",Horner,Government Bills,Yes,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-005.pdf,1R,"Nov 1, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231101_1330_01_han.pdf#page=15
"Public Sector Employers Amendment Act, 2023*","Legislature 31, Session 1",Horner,Government Bills,Yes,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-005.pdf,2R,"Nov 7, 2023 pm",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231107_1330_01_han.pdf#page=28
"Public Sector Employers Amendment Act, 2023*","Legislature 31, Session 1",Horner,Government Bills,Yes,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-005.pdf,2R,"Nov 8, 2023 pm",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231108_1330_01_han.pdf#page=30
"Public Sector Employers Amendment Act, 2023*","Legislature 31, Session 1",Horner,Government Bills,Yes,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-005.pdf,2R,"Nov 21, 2023 pm",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231121_1330_01_han.pdf#page=17
"Public Sector Employers Amendment Act, 2023*","Legislature 31, Session 1",Horner,Government Bills,Yes,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-005.pdf,2R,"Nov 28, 2023 pm",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231128_1330_01_han.pdf#page=31
"Public Sector Employers Amendment Act, 2023*","Legislature 31, Session 1",Horner,Government Bills,Yes,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-005.pdf,2R,"Nov 29, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231129_1330_01_han.pdf#page=24
"Public Sector Employers Amendment Act, 2023*","Legislature 31, Session 1",Horner,Government Bills,Yes,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-005.pdf,CW,"Nov 30, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231130_1330_01_han.pdf#page=18
"Public Sector Employers Amendment Act, 2023*","Legislature 31, Session 1",Horner,Government Bills,Yes,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-005.pdf,CW,"Dec 5, 2023 pm",recommitted,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231205_1330_01_han.pdf#page=25
"Public Sector Employers Amendment Act, 2023*","Legislature 31, Session 1",Horner,Government Bills,Yes,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-005.pdf,CW,"Dec 6, 2023 eve",passed with amendments on division,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231206_1330_01_han.pdf#page=33
"Public Sector Employers Amendment Act, 2023*","Legislature 31, Session 1",Horner,Government Bills,Yes,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-005.pdf,3R,"Dec 5, 2023 pm",recommitted to Committee of the Whole,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231205_1330_01_han.pdf#page=21
"Public Sector Employers Amendment Act, 2023*","Legislature 31, Session 1",Horner,Government Bills,Yes,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-005.pdf,3R,"Dec 6, 2023 eve",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231206_1930_01_han.pdf#page=6
"Public Sector Employers Amendment Act, 2023*","Legislature 31, Session 1",Horner,Government Bills,Yes,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-005.pdf,3R,"Dec 6, 2023 eve",passed on division,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231206_1930_01_han.pdf#page=17
"Public Sector Employers Amendment Act, 2023*","Legislature 31, Session 1",Horner,Government Bills,Yes,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-005.pdf,RA,"Dec 7, 2023",outside of House sitting,
"Public Sector Employers Amendment Act, 2023*","Legislature 31, Session 1",Horner,Government Bills,Yes,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-005.pdf,CF,on Proclamation, SA 2023 c12,
"Public Health Amendment Act, 2023","Legislature 31, Session 1",Amery,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-006.pdf,1R,"Nov 2, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231102_1330_01_han.pdf#page=16
"Public Health Amendment Act, 2023","Legislature 31, Session 1",Amery,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-006.pdf,2R,"Nov 7, 2023 pm",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231107_1330_01_han.pdf#page=29
"Public Health Amendment Act, 2023","Legislature 31, Session 1",Amery,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-006.pdf,2R,"Nov 22, 2023 pm",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231122_1330_01_han.pdf#page=31
"Public Health Amendment Act, 2023","Legislature 31, Session 1",Amery,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-006.pdf,2R,"Nov 29, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231129_1330_01_han.pdf#page=29
"Public Health Amendment Act, 2023","Legislature 31, Session 1",Amery,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-006.pdf,CW,"Nov 30, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231130_1330_01_han.pdf#page=18
"Public Health Amendment Act, 2023","Legislature 31, Session 1",Amery,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-006.pdf,3R,"Nov 30, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231130_1330_01_han.pdf#page=24
"Public Health Amendment Act, 2023","Legislature 31, Session 1",Amery,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-006.pdf,RA,"Dec 7, 2023",outside of House sitting,
"Public Health Amendment Act, 2023","Legislature 31, Session 1",Amery,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-006.pdf,CF,"on December 7, 2023", SA 2023 c11,
"Engineering and Geoscience Professions Amendment Act, 2023","Legislature 31, Session 1",Sawhney,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-007.pdf,1R,"Nov 6, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231106_1330_01_han.pdf#page=17
"Engineering and Geoscience Professions Amendment Act, 2023","Legislature 31, Session 1",Sawhney,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-007.pdf,2R,"Nov 7, 2023 pm",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231107_1330_01_han.pdf#page=30
"Engineering and Geoscience Professions Amendment Act, 2023","Legislature 31, Session 1",Sawhney,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-007.pdf,2R,"Nov 21, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231121_1330_01_han.pdf#page=25
"Engineering and Geoscience Professions Amendment Act, 2023","Legislature 31, Session 1",Sawhney,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-007.pdf,CW,"Nov 28, 2023 pm",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231128_1330_01_han.pdf#page=28
"Engineering and Geoscience Professions Amendment Act, 2023","Legislature 31, Session 1",Sawhney,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-007.pdf,CW,"Nov 29, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231129_1330_01_han.pdf#page=17
"Engineering and Geoscience Professions Amendment Act, 2023","Legislature 31, Session 1",Sawhney,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-007.pdf,3R,"Dec 5, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231205_1330_01_han.pdf#page=20
"Engineering and Geoscience Professions Amendment Act, 2023","Legislature 31, Session 1",Sawhney,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-007.pdf,RA,"Dec 7, 2023",outside of House sitting,
"Engineering and Geoscience Professions Amendment Act, 2023","Legislature 31, Session 1",Sawhney,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-007.pdf,CF,"on December 7, 2023", SA 2023 c7,
"Justice Statutes Amendment Act, 2023","Legislature 31, Session 1",Amery,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-008.pdf,1R,"Nov 9, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231109_1330_-1_han.pdf#page=15
